web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574947425-9200;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slovanka W - Pardubice W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slovanka-w-pardubice-w/nDvnLDZI/;27.01.2013 - 17:30;(23:14, 26:17, 21:10, 18:13);;
1574947070-9084;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - USK Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-usk-prague-w/AyL0ktRp/;26.09.2012 - 18:00;(19:37, 5:25, 5:27, 16:28);;
1574947317-9166;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slavia Prague W - Hradec Kralove W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slavia-prague-w-hradec-kralove-w/fg88JusH/;09.12.2012 - 18:00;(17:18, 22:25, 16:14, 21:25);;
1574946845-9012;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - Karlovy Vary W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-karlovy-vary-w/OnTxHnsK/;27.03.2013 - 18:00;(15:12, 15:14, 10:20, 15:12);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
1574946863-9017;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;USK Prague W - Trutnov W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/usk-prague-w-trutnov-w/AsMRF0ph/;15.02.2013 - 18:00;(25:13, 25:12, 14:21, 20:10);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574946833-9008;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Karlovy Vary W - Chance U19 W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/karlovy-vary-w-chance-u19-w/UmnnfPZ6/;07.03.2013 - 17:30;(13:22, 5:15, 25:18, 5:18);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
1574946938-9041;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Karlin W - Pardubice W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/karlin-w-pardubice-w/UFnG5Kae/;20.04.2013 - 17:00;(25:10, 19:23, 16:16, 17:11);Relegation;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=dti7MfR3
1574946830-9007;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - Karlin W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-karlin-w/zRnre5K0/;03.03.2013 - 15:00;(22:12, 17:17, 9:24, 6:11);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
1574946978-9053;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Zabiny Brno W - Slavia Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/zabiny-brno-w-slavia-prague-w/KAv7rtZL/;02.04.2013 - 18:00;(30:15, 16:7, 18:11, 19:12);Play Offs;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=4bjnbXJj
1574947392-9191;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Chance U19 W - VS Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/chance-u19-w-vs-prague-w/CfnZNFk0/;19.01.2013 - 17:00;(14:16, 13:12, 14:12, 13:15);;
