web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574979665-13093;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Union Hainaut W - Vologda W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/union-hainaut-w-vologda-w/jDVzPRKE/;24.01.2013 - 20:00;(7:11, 9:24, 19:19, 10:12);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979942-13185;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Ormanspor W - Ruzomberok W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/ogm-ormanspor-w-ruzomberok-w/8thiUFUg/;29.11.2012 - 18:00;(18:24, 14:21, 11:15, 22:17);;
1574979828-13147;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Young Cats W - Olimpia Grodno W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/young-cats-w-olimpia-grodno-w/Aqsr7zAE/;14.11.2012 - 20:30;(17:25, 26:13, 15:24, 15:26);;
1574979762-13125;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Union Hainaut W - Olimpia Grodno W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/union-hainaut-w-olimpia-grodno-w/hAwapD21/;01.11.2012 - 20:00;(16:12, 15:16, 16:20, 18:12);;
1574979731-13115;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Dynamo Kursk W - Botas W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/dynamo-kursk-w-botas-w/StVRNJjN/;25.10.2012 - 16:00;(26:16, 13:20, 19:9, 21:19);;
1574979635-13083;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Tarbes GB W - Dynamo Moscow W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/tarbes-gb-w-dynamo-moscow-w/A3gItoIN/;13.12.2012 - 20:00;(23:16, 14:26, 22:23, 21:23);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979927-13180;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Sint-Katelijne-Waver W - Nantes W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/sint-katelijne-waver-w-nantes-w/jqUR4vpo/;29.11.2012 - 20:30;(7:23, 16:20, 18:21, 18:16);;
1574979623-13079;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Botas W - Lattes Montpellier W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/botas-w-lattes-montpellier-w/GQZTqdSm/;06.12.2012 - 18:00;(13:18, 19:12, 7:25, 23:14);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979734-13116;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Sisu W - Satu Mare W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/sisu-w-satu-mare-w/6yKsvxtS/;31.10.2012 - 19:00;(18:14, 3:6, 11:21, 14:16);;
1574979816-13143;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Ruzomberok W - Ormanspor W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/ruzomberok-w-ogm-ormanspor-w/MqpOUR37/;08.11.2012 - 17:00;(15:11, 14:20, 19:17, 14:22);;
1574979644-13086;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Lattes Montpellier W - Botas W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/lattes-montpellier-w-botas-w/Umbco93h/;13.12.2012 - 20:30;(14:24, 14:14, 18:11, 23:17);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979629-13081;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Vologda W - Ormanspor W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/vologda-w-ogm-ormanspor-w/bTkEsR2H/;13.12.2012 - 15:00;(11:13, 21:10, 19:12, 22:11);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979668-13094;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Lattes Montpellier W - Dynamo Moscow W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/lattes-montpellier-w-dynamo-moscow-w/CMWWP758/;24.01.2013 - 20:00;(13:29, 26:16, 21:20, 24:21);Play Offs;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=UZng7UzT
1574979936-13183;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Dynamo Kursk W - Dunav Ruse W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/dynamo-kursk-w-dunav-ruse-w/IBcluLLc/;29.11.2012 - 16:00;(23:22, 16:13, 22:12, 19:19);;
1574979782-13132;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/results/?stage=t07gPlFA;Sisu W - Lattes Montpellier W;https://www.betexplorer.com/basketball/europe/eurocup-women-2012-2013/sisu-w-lattes-montpellier-w/Kr0IXZIe/;07.11.2012 - 19:00;(21:25, 10:28, 15:16, 19:22);;
