web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574974530-11880;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Lattes Montpellier W - USK Prague W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/lattes-montpellier-w-usk-prague-w/GdhCA9LS/;18.02.2015 - 20:00;(21:22, 22:15, 14:21, 15:19);;
1574974536-11882;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Dynamo Kursk W - Ekaterinburg W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/dynamo-kursk-w-ekaterinburg-w/MZh8Bk6M/;18.02.2015 - 17:00;(22:20, 14:18, 21:22, 17:13);;
1574974512-11874;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;USK Prague W - Dynamo Kursk W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/usk-prague-w-dynamo-kursk-w/vicmGDii/;11.02.2015 - 18:00;(18:16, 26:28, 17:22, 24:21);;
1574974221-11778;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Ekaterinburg W - USK Prague W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/ekaterinburg-w-usk-prague-w/lfnukE5D/;12.04.2015 - 18:00;(12:17, 16:15, 12:18, 28:22);Final Four;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=WrgOQf7H
1574974254-11788;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Dynamo Kursk W - Bourges W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/dynamo-kursk-w-bourges-w/z1ujDB9o/;11.03.2015 - 17:00;(23:14, 19:18, 26:24, 20:16);Play Offs;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=YHbV7s9o
1574974365-11825;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Good Angels Kosice W - Ekaterinburg W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/good-angels-kosice-w-ekaterinburg-w/E7bXhpfQ/;10.12.2014 - 18:00;(12:23, 9:13, 14:15, 16:20);;
1574974305-11805;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Dynamo Kursk W - Galatasaray W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/dynamo-kursk-w-galatasaray-w/IuqguRPQ/;19.11.2014 - 17:00;(22:7, 13:23, 18:21, 19:17);;
1574974320-11810;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Wisla Can-Pack W - Ekaterinburg W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/wisla-can-pack-w-ekaterinburg-w/xQPPZ4ml/;26.11.2014 - 18:30;(13:20, 16:17, 13:11, 14:18);;
1574974395-11835;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Bellona Kayseri W - Zabiny Brno W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/bellona-kayseri-w-zabiny-brno-w/S8cKZbls/;17.12.2014 - 18:00;(15:12, 15:12, 21:15, 13:14);;
1574974236-11782;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Dynamo Kursk W - Bourges W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/dynamo-kursk-w-bourges-w/tC3AQutL/;03.03.2015 - 17:00;(17:21, 27:15, 13:11, 18:15);Play Offs;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=YHbV7s9o
1574974443-11851;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/results/?stage=byOWrbWp;Schio W - Bourges W;https://www.betexplorer.com/basketball/europe/euroleague-women-2014-2015/schio-w-bourges-w/hUZ4odmg/;15.01.2015 - 20:30;(16:21, 25:9, 15:13, 23:16);;
