web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574936268-8090;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Toulouse W - Nantes W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/toulouse-w-nantes-w/6L9k6zkT/;15.03.2013 - 20:00;(21:16, 19:16, 22:23, 20:18);;
1574936340-8114;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Lattes Montpellier W - Pays d'Aix Basket 13 W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/lattes-montpellier-w-pays-d-aix-basket-13-w/bwebVPHs/;06.04.2013 - 20:00;(12:18, 11:17, 17:16, 27:12);;
1574936202-8068;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Perpignan W - Bourges W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/perpignan-w-bourges-w/YayfJ46d/;13.02.2013 - 20:00;(12:17, 15:12, 8:15, 12:12);;
1574935856-7953;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Mondeville W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/mondeville-w-tarbes-gb-w/O8pXXl3a/;06.10.2012 - 20:00;(11:21, 23:13, 18:16, 20:9);;
1574936061-8021;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Arras W - ESB Lille W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/arras-w-esb-lille-w/z5yfND7U/;15.12.2012 - 20:00;(27:15, 18:17, 14:11, 12:19);;
1574935955-7986;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Lyon W - Lattes Montpellier W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/lyon-w-lattes-montpellier-w/0Qk28jd9/;10.11.2012 - 20:00;(23:24, 20:23, 9:16, 12:18);;
1574936265-8089;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Arras W - Perpignan W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/arras-w-perpignan-w/WUeNCK5o/;08.03.2013 - 20:00;(11:19, 20:16, 25:7, 15:13);;
1574936027-8010;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Union Hainaut W - Lyon W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/union-hainaut-w-lyon-w/pxEqHKvs/;02.12.2012 - 16:00;(15:17, 16:11, 5:16, 15:13);;
1574936012-8005;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;ESB Lille W - Union Hainaut W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/esb-lille-w-union-hainaut-w/pxhE1uuf/;25.11.2012 - 16:00;(13:13, 18:25, 14:12, 27:18);;
1574935793-7932;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Bourges W - Lyon W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/bourges-w-lyon-w/IRowhQzU/;12.04.2013 - 20:00;(14:15, 18:12, 17:8, 14:10);Play Offs;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=hQ9LkWRq
1574936064-8022;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Union Hainaut W - Bourges W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/union-hainaut-w-bourges-w/llZsQFNB/;16.12.2012 - 15:30;(13:16, 18:10, 22:23, 18:15);;
1574935991-7998;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Perpignan W - Arras W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/perpignan-w-arras-w/6V4nmtQ0/;18.11.2012 - 15:00;(17:14, 20:15, 15:18, 19:16);;
1574935946-7983;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Bourges W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/bourges-w-tarbes-gb-w/hAk8n9Zk/;03.11.2012 - 20:00;(17:20, 14:4, 16:19, 16:6);;
1574935949-7984;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Union Hainaut W - Flammes Carolo W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/union-hainaut-w-flammes-carolo-w/0CATgisG/;04.11.2012 - 16:00;(13:11, 10:24, 18:13, 13:17);;
1574935844-7949;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Arras W - Landes W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/arras-w-landes-w/U9iOZAYn/;29.09.2012 - 20:00;;;
1574935943-7982;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Landes W - Lyon W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/landes-w-lyon-w/dv4xhVBS/;03.11.2012 - 20:00;(21:16, 16:18, 8:19, 12:7);;
1574935937-7980;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Mondeville W - Pays d'Aix Basket 13 W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/mondeville-w-pays-d-aix-basket-13-w/hn7LeDC3/;03.11.2012 - 20:00;(22:14, 15:21, 18:13, 19:9);;
1574936319-8107;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Perpignan W - Lattes Montpellier W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/perpignan-w-lattes-montpellier-w/KpBaXCmS/;03.04.2013 - 20:00;(24:15, 25:17, 15:27, 21:7);;
1574936286-8096;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Union Hainaut W - ESB Lille W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/union-hainaut-w-esb-lille-w/C2nI1fcp/;20.03.2013 - 20:00;(18:17, 10:18, 11:24, 32:15);;
1574936015-8006;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Toulouse W - ESB Lille W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/toulouse-w-esb-lille-w/buImGvfm/;01.12.2012 - 20:00;(16:16, 15:16, 25:19, 19:27);;
1574935922-7975;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Nantes W - Mondeville W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/nantes-w-mondeville-w/6kkfuhSM/;28.10.2012 - 16:00;(11:6, 17:11, 22:17, 10:24);;
1574936042-8015;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Bourges W - Mondeville W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/bourges-w-mondeville-w/0StVSHwg/;08.12.2012 - 20:00;(19:17, 18:15, 9:11, 14:16);;
1574935925-7976;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Flammes Carolo W - Lattes Montpellier W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/flammes-carolo-w-lattes-montpellier-w/CSkjtYCG/;28.10.2012 - 15:30;(9:14, 8:21, 17:15, 12:13);;
1574935970-7991;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Nantes W - Union Hainaut W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/nantes-w-union-hainaut-w/h0nfACRd/;11.11.2012 - 16:00;;;
1574936338-8113;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Lyon W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/lyon-w-tarbes-gb-w/vkrQmYX8/;06.04.2013 - 20:00;(14:18, 17:18, 15:16, 19:8);;
1574935859-7954;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Lyon W - Flammes Carolo W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/lyon-w-flammes-carolo-w/APnqVnmI/;06.10.2012 - 20:00;;;
1574936298-8100;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/results/?stage=d6Sh7bcH;Lattes Montpellier W - Mondeville W;https://www.betexplorer.com/basketball/france/lfb-women-2012-2013/lattes-montpellier-w-mondeville-w/ERWGMeZ9/;30.03.2013 - 20:00;(16:12, 15:19, 21:13, 19:18);;
