web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574933721-7685;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Vasas Csata W - UNI Gyor W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/vasas-csata-w-uni-gyor-w/UTVtEKop/;25.11.2012 - 17:00;(12:17, 14:22, 9:32, 20:14);;
1574933627-7654;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Vasas Csata W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-vasas-csata-w/8IwIhDJ6/;17.10.2012 - 17:30;(22:15, 24:6, 17:12, 21:11);;
1574933826-7720;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Budapest BSE W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-budapest-bse-w/ljEVqbgP/;20.01.2013 - 18:00;(14:19, 15:9, 26:16, 28:18);;
1574933817-7717;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Atomeromu Szekszard W - PEAC-Pecs W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/atomeromu-szekszard-w-peac-pecs-w/vLWvNznC/;12.01.2013 - 18:00;(20:17, 12:12, 10:19, 26:22);;
1574933778-7704;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Atomeromu Szekszard W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-atomeromu-szekszard-w/jJp5XT32/;15.12.2012 - 17:00;(17:23, 19:16, 14:17, 17:9);;
1574933492-7610;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Bacsbasket W - Budapest BSE W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/bacsbasket-w-budapest-bse-w/rsJr86IK/;28.02.2013 - 19:00;(25:13, 31:13, 12:12, 18:13);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933558-7631;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Euroleasing Sopron W - UNI Gyor W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/euroleasing-sopron-w-uni-gyor-w/0vD1bffj/;15.04.2013 - 18:45;(17:11, 13:16, 25:19, 19:9);Play Offs;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=dCZV6kSN
1574933682-7672;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;UNI Gyor W - Budapest BSE W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/uni-gyor-w-budapest-bse-w/I7HP7qPA/;04.11.2012 - 18:00;(30:12, 22:10, 21:13, 17:22);;
1574933504-7614;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Cegledi W - Bacsbasket W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/cegledi-w-bacsbasket-w/EqCQarQ0/;06.03.2013 - 18:30;(14:18, 9:15, 20:18, 20:22);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933465-7601;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Vasas Csata W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-vasas-csata-w/4jb9g73R/;10.02.2013 - 17:00;(20:9, 6:14, 27:11, 9:11);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
