web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574931648-7434;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Priolo W - Umbertide W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/priolo-w-umbertide-w/E1RYwMwi/;03.02.2013 - 18:00;(11:18, 18:16, 10:12, 19:9);;
1574931488-7381;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Pozzuoli W - Cagliari W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/pozzuoli-w-cagliari-w/0pnVhUWL/;11.11.2012 - 18:00;(13:20, 19:14, 13:8, 24:20);;
1574931708-7454;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Lucca W - Pozzuoli W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/lucca-w-pozzuoli-w/OK261GyF/;03.03.2013 - 18:00;(19:8, 17:20, 23:7, 23:11);;
1574931434-7363;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Parma W - Orvieto W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/parma-w-orvieto-w/4v6Bt0sa/;14.10.2012 - 19:00;(12:15, 20:10, 10:18, 12:14);;
1574931620-7425;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Orvieto W - Taranto W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/orvieto-w-taranto-w/4hm5tfrh/;20.01.2013 - 18:00;(6:26, 18:16, 14:12, 16:17);;
1574931476-7377;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Faenza W - Pozzuoli W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/faenza-w-pozzuoli-w/4IhMfj29/;04.11.2012 - 18:00;(18:14, 12:18, 16:12, 10:10);;
1574931395-7350;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Chieti W - Lucca W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/chieti-w-lucca-w/tb86plxB/;07.04.2013 - 18:00;(11:27, 6:19, 5:22, 13:24);Play Offs;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=nghvlr0p
1574931422-7359;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Schio W - Lucca W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/schio-w-lucca-w/tvW27cKp/;04.05.2013 - 20:30;(17:6, 16:14, 15:15, 19:13);Play Offs;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=nghvlr0p
1574931449-7368;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Faenza W - Parma W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/faenza-w-parma-w/rogweadh/;21.10.2012 - 18:00;(15:14, 18:16, 8:11, 6:12);;
1574931461-7372;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/results/?stage=xGAjiOiT;Pozzuoli W - Priolo W;https://www.betexplorer.com/basketball/italy/serie-a1-women-2012-2013/pozzuoli-w-priolo-w/U1ekhctB/;28.10.2012 - 18:00;(13:19, 20:21, 20:12, 21:19);;
