web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574958853-10376;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Artego Bydgoszcz W - Arka Gdynia W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/artego-bydgoszcz-w-arka-gdynia-w/xzgOeRql/;17.11.2012 - 16:00;(20:15, 20:23, 23:9, 16:16);;
1574958859-10378;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Polkowice W - Wisla Can-Pack W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/polkowice-w-wisla-can-pack-w/6i2h1mMQ/;18.11.2012 - 17:45;(15:15, 19:16, 10:10, 12:8);;
1574958907-10394;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rybnik W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rybnik-w-polkowice-w/Qgfw5jva/;08.12.2012 - 17:00;;;
1574959009-10427;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Pruszkow W - Brzeg W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/pruszkow-w-brzeg-w/Qi9ZUwbL/;26.01.2013 - 17:00;;;
1574958709-10328;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rzeszow W - Brzeg W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rzeszow-w-brzeg-w/v54WBqZh/;03.10.2012 - 17:00;;;
1574958751-10342;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Arka Gdynia W - Brzeg W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/arka-gdynia-w-brzeg-w/4QUUKvIN/;13.10.2012 - 17:00;;;
1574958736-10337;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Widzew Lodz W - Pruszkow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/widzew-lodz-w-pruszkow-w/0lMyv2Io/;13.10.2012 - 18:00;(13:21, 13:20, 8:13, 20:17);;
1574959052-10441;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Widzew Lodz W - Rzeszow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/widzew-lodz-w-rzeszow-w/GtOHsHsR/;13.02.2013 - 18:30;(23:17, 19:10, 17:13, 19:13);;
1574958943-10406;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Pabianice W - Torun W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/pabianice-w-torun-w/0YXDOMIb/;19.12.2012 - 18:00;(8:17, 15:15, 9:11, 4:14);;
1574958592-10290;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Pabianice W - Rzeszow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/pabianice-w-rzeszow-w/6J8ReacK/;16.02.2013 - 16:00;(22:18, 11:12, 11:12, 13:15);Play Out;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=YTKeTZVQ
1574958904-10393;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Wisla Can-Pack W - Brzeg W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/wisla-can-pack-w-brzeg-w/KhFbCYoP/;08.12.2012 - 17:00;;;
1574958802-10359;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Arka Gdynia W - Torun W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/arka-gdynia-w-torun-w/nmVHvZ8d/;27.10.2012 - 16:00;(25:17, 16:24, 20:24, 13:19);;
1574958847-10374;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rybnik W - Gorzow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rybnik-w-gorzow-w/GQiSfoaf/;17.11.2012 - 17:00;;;
1574959025-10432;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rzeszow W - Rybnik W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rzeszow-w-rybnik-w/tOV4pJc8/;02.02.2013 - 17:00;;;
1574958654-10310;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Wisla Can-Pack W - Artego Bydgoszcz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/wisla-can-pack-w-artego-bydgoszcz-w/pxtaWmWc/;07.04.2013 - 19:15;(19:9, 20:19, 23:15, 18:15);Play Offs;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=Q3HmVe1E
1574958787-10354;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Arka Gdynia W - Wisla Can-Pack W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/arka-gdynia-w-wisla-can-pack-w/MRhXSyAp/;20.10.2012 - 16:00;(15:21, 16:14, 16:26, 20:12);;
1574958645-10307;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Polkowice W - Torun W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/polkowice-w-torun-w/4nOj9gLE/;28.03.2013 - 17:45;(16:21, 22:2, 14:15, 19:15);Play Offs;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=Q3HmVe1E
1574959019-10430;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Torun W - Arka Gdynia W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/torun-w-arka-gdynia-w/pxj6PHLr/;27.01.2013 - 17:00;(25:12, 21:13, 22:18, 24:15);;
1574958856-10377;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rzeszow W - Pabianice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rzeszow-w-pabianice-w/zT7ThPT6/;18.11.2012 - 17:30;(22:13, 24:14, 30:16, 17:18);;
1574958702-10326;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Widzew Lodz W - Arka Gdynia W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/widzew-lodz-w-arka-gdynia-w/hl6OD54t/;01.10.2012 - 18:00;(21:16, 16:21, 16:19, 19:22);;
1574958652-10309;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Wisla Can-Pack W - Artego Bydgoszcz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/wisla-can-pack-w-artego-bydgoszcz-w/nBDe8DzL/;06.04.2013 - 16:00;(10:7, 13:13, 24:18, 18:13);Play Offs;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=Q3HmVe1E
1574958940-10405;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rybnik W - Pruszkow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rybnik-w-pruszkow-w/vJq5Qrln/;19.12.2012 - 17:00;;;
1574959064-10445;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Wisla Can-Pack W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/wisla-can-pack-w-polkowice-w/2120Zhk7/;16.02.2013 - 17:45;(13:20, 15:15, 17:20, 16:20);;
1574958648-10308;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Torun W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/torun-w-polkowice-w/0EHa7XkR/;05.04.2013 - 19:00;(23:20, 16:19, 19:17, 18:27);Play Offs;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=Q3HmVe1E
1574958811-10362;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Torun W - Wisla Can-Pack W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/torun-w-wisla-can-pack-w/lh903Ioc/;03.11.2012 - 18:00;(11:26, 9:20, 26:12, 23:22);;
1574958757-10344;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Widzew Lodz W - Artego Bydgoszcz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/widzew-lodz-w-artego-bydgoszcz-w/n5Omy024/;17.10.2012 - 18:00;(17:22, 10:20, 25:19, 12:23);;
1574958992-10422;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Brzeg W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/brzeg-w-polkowice-w/hrRSBbiq/;19.01.2013 - 17:00;;;
1574958898-10391;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Widzew Lodz W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/widzew-lodz-w-polkowice-w/MsZ9P23h/;05.12.2012 - 18:00;(21:23, 10:22, 5:16, 19:12);;
1574958928-10401;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Gorzow W - Brzeg W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/gorzow-w-brzeg-w/CjG8KVwn/;15.12.2012 - 17:00;;;
1574958685-10320;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/results/?stage=nDIqWyn8;Rzeszow W - Wisla Can-Pack W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2012-2013/rzeszow-w-wisla-can-pack-w/2LILGYKK/;28.09.2012 - 17:30;(12:23, 10:13, 7:15, 10:27);;
