web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574954171-9566;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Vologda W - Dynamo Moscow W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/vologda-w-dynamo-moscow-w/vkhkWwPh/;15.10.2012 - 15:00;(11:21, 21:13, 17:17, 12:18);;
1574954105-9545;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Ivanovo W - Noginsk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/ivanovo-w-spartak-noginsk-w/W4lyCLxs/;29.04.2013 - 16:00;(14:15, 20:11, 21:17, 22:22);5th-8th places;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=dlqquPWn
1574954153-9560;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Nadezhda W - Dynamo Kursk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/nadezhda-w-dynamo-kursk-w/jHL2dwBj/;23.04.2013 - 15:00;;Play Offs;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=lKqJv5Ht
1574954177-9568;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Rostov W - Ekaterinburg W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/rostov-w-ekaterinburg-w/C2jcUHg5/;18.10.2012 - 17:30;(16:17, 9:18, 13:21, 7:17);;
1574954437-9654;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Dynamo Moscow W - Novosibirsk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/dynamo-moscow-w-novosibirsk-w/rgu2vHZ2/;01.04.2013 - 17:30;(14:15, 25:20, 26:18, 12:18);;
1574954416-9647;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Rostov W - Dynamo Moscow W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/rostov-w-dynamo-moscow-w/lxHwvmOM/;21.03.2013 - 16:30;(11:21, 13:13, 13:14, 14:14);;
1574954275-9600;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Dynamo Kursk W - Ekaterinburg W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/dynamo-kursk-w-ekaterinburg-w/YNLleobL/;09.12.2012 - 16:00;(11:22, 26:16, 13:22, 16:17);;
1574954248-9591;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Vologda W - Dynamo Kursk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/vologda-w-dynamo-kursk-w/Q7LfZ3y2/;25.11.2012 - 15:00;(24:18, 24:22, 24:17, 18:30);;
1574954386-9637;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Nadezhda W - Noginsk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/nadezhda-w-spartak-noginsk-w/xIV3R9vH/;03.03.2013 - 14:00;(29:18, 22:11, 22:14, 23:16);;
1574954422-9649;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Ivanovo W - Vologda W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/ivanovo-w-vologda-w/tCDVu9gA/;25.03.2013 - 15:00;(17:19, 13:13, 22:16, 23:18);;
1574954144-9557;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Nadezhda W - Spartak Moscow W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/nadezhda-w-spartak-moscow-w/E9FsQSJK/;16.04.2013 - 15:00;(16:19, 18:15, 9:23, 26:23);Play Offs;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=lKqJv5Ht
1574954200-9575;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Ekaterinburg W - Ivanovo W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/ekaterinburg-w-ivanovo-w/bTgKqcgh/;22.10.2012 - 15:00;(16:14, 14:8, 30:13, 14:14);;
1574954141-9556;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Ekaterinburg W - Dynamo Kursk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/ekaterinburg-w-dynamo-kursk-w/4vYj35C7/;13.04.2013 - 15:00;(24:12, 29:14, 20:11, 16:18);Play Offs;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=lKqJv5Ht
1574954407-9644;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Noginsk W - Rostov W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/spartak-noginsk-w-rostov-w/KdPMsVOc/;10.03.2013 - 11:00;(23:18, 13:16, 22:14, 14:21);;
1574954203-9576;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Ekaterinburg W - Novosibirsk W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/ekaterinburg-w-novosibirsk-w/xKhOrH8b/;03.11.2012 - 14:00;(21:18, 24:13, 19:16, 17:11);;
1574954410-9645;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Nadezhda W - Dynamo Moscow W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/nadezhda-w-dynamo-moscow-w/hjXzKRWj/;10.03.2013 - 14:00;(25:27, 22:22, 27:15, 19:22);;
1574954296-9607;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/results/?stage=CfMkdXnE;Novosibirsk W - Dynamo Moscow W;https://www.betexplorer.com/basketball/russia/premier-league-women-2012-2013/novosibirsk-w-dynamo-moscow-w/niw01MKf/;22.12.2012 - 08:00;(23:24, 19:21, 25:27, 16:19);;
