web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574950222-9401;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Spisska Nova Ves W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/spisska-nova-ves-w-ruzomberok-w/Sr2CgMLH/;09.12.2012 - 18:00;(19:21, 14:16, 14:5, 10:22);;
1574950025-9336;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Good Angels Kosice W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/good-angels-kosice-w-ruzomberok-w/jmGlF8jo/;17.04.2013 - 18:00;(19:4, 19:22, 22:10, 13:12);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=hWIdVaET
1574949980-9321;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Ruzomberok W - Cassovia Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/ruzomberok-w-cassovia-kosice-w/zgcJ0MYB/;20.03.2013 - 17:00;(31:8, 35:6, 26:14, 21:9);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=hWIdVaET
1574950207-9396;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Cassovia Kosice W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/cassovia-kosice-w-ruzomberok-w/0Iihbp7n/;01.12.2012 - 18:00;(10:29, 15:20, 6:23, 4:22);;
1574949950-9312;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Petrzalka W - Spisska Nova Ves W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/petrzalka-w-spisska-nova-ves-w/zBIIR6X0/;23.02.2013 - 15:00;(19:30, 16:31, 17:19, 6:25);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=K662nYJ7
1574949923-9303;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Ostrava W - Spisska Nova Ves W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/ostrava-w-spisska-nova-ves-w/0E1tsnXm/;30.01.2013 - 18:00;(20:30, 12:29, 13:26, 21:25);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=K662nYJ7
1574950010-9331;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Spisska Nova Ves W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/spisska-nova-ves-w-good-angels-kosice-w/newXWqQ1/;03.04.2013 - 18:00;(19:29, 18:23, 20:19, 14:17);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=hWIdVaET
1574949965-9317;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Cassovia Kosice W - Spisska Nova Ves W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/cassovia-kosice-w-spisska-nova-ves-w/WxCRPp2D/;09.03.2013 - 17:00;(15:26, 16:19, 14:21, 10:21);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=K662nYJ7
1574950048-9343;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Good Angels Kosice W - Cassovia Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/good-angels-kosice-w-cassovia-kosice-w/vmNyXnij/;15.09.2012 - 18:00;(14:14, 27:7, 31:4, 28:5);;
1574950174-9385;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Good Angels Kosice W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/good-angels-kosice-w-ruzomberok-w/zTBlOXQ8/;08.11.2012 - 18:00;(22:13, 22:8, 26:13, 12:11);;
1574949968-9318;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=8W2bmE41;Spisska Nova Ves W - Levice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/spisska-nova-ves-w-levice-w/OWbDmlfK/;10.03.2013 - 16:00;(26:21, 34:15, 20:5, 20:13);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2012-2013/results/?stage=K662nYJ7
