web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574940156-8279;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Rivas Ecopolis W - Uni Girona W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/rivas-ecopolis-w-uni-girona-w/zyjyd0RA/;27.10.2012 - 13:00;(20:18, 23:16, 19:11, 14:20);;
1574940412-8364;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Navarra W - Cadi La Seu W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/navarra-w-cadi-la-seu-w/pM1nW7rS/;16.03.2013 - 19:00;(17:14, 13:17, 20:13, 8:20);;
1574940120-8267;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Rivas Ecopolis W - Perfumerias Avenida W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/rivas-ecopolis-w-perfumerias-avenida-w/dbfCkFDd/;24.04.2013 - 20:30;(12:16, 12:25, 14:18, 15:10);Play Offs;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=ANVr6ZYe
1574940433-8371;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Perfumerias Avenida W - Gran Canaria W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/perfumerias-avenida-w-gran-canaria-w/lGepUKCs/;23.03.2013 - 19:00;(11:17, 20:11, 22:15, 13:12);;
1574940328-8336;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Perfumerias Avenida W - Quesos El Pastor W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/perfumerias-avenida-w-quesos-el-pastor-de-la-polvoro-w/jqSlobVr/;26.01.2013 - 18:00;(16:14, 24:13, 19:12, 17:14);;
1574940436-8372;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Cadi La Seu W - Burgos W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/cadi-la-seu-w-burgos-w/2LjQOPz2/;23.03.2013 - 19:00;(23:10, 21:15, 11:23, 17:19);;
1574940195-8292;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Hondarribia W - Gran Canaria W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/hondarribia-w-gran-canaria-w/O0b4elhc/;10.11.2012 - 19:00;(17:12, 17:20, 18:10, 15:19);;
1574940409-8363;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Conquero W - Rivas Ecopolis W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/conquero-w-rivas-ecopolis-w/r3bSnWNp/;13.03.2013 - 21:00;(16:12, 13:7, 8:19, 10:22);;
1574940301-8327;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Burgos W - Hondarribia W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/burgos-w-hondarribia-w/YRuWMlmO/;12.01.2013 - 18:30;(21:18, 19:8, 22:19, 18:9);;
1574940267-8316;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/results/?stage=G0Wv7FJk;Hondarribia W - Navarra W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2012-2013/hondarribia-w-navarra-w/nyREcYJC/;15.12.2012 - 19:00;(10:23, 17:15, 9:13, 13:5);;
