web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574943976-8744;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Fenerbahce W - Samsun W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/fenerbahce-w-samsun-basketbol-am-w/xGUvXbYH/;02.03.2013 - 14:00;(34:17, 25:17, 27:13, 30:10);;
1574944036-8764;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Istanbul Univ. W - Canik Belediye W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/istanbul-gelisim-universitesi-w-samsun-canik-belediye-w/6DaWiZ9p/;16.03.2013 - 15:00;(23:21, 27:16, 25:11, 16:15);;
1574943576-8611;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;TED Ankara W - Canik Belediye W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/ted-ankara-w-samsun-canik-belediye-w/4GNDhcsC/;28.10.2012 - 16:00;(13:12, 12:13, 17:11, 16:19);;
1574943648-8635;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Fenerbahce W - TED Ankara W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/fenerbahce-w-ted-ankara-w/hENPKFQ4/;18.11.2012 - 15:00;(22:13, 21:10, 21:12, 21:19);;
1574943858-8705;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Adana Aski W - Botas W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/adana-aski-w-botas-w/OUeL3x83/;27.01.2013 - 15:00;(21:13, 16:10, 20:19, 17:16);;
1574943699-8652;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Galatasaray W - Canik Belediye W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/galatasaray-w-samsun-canik-belediye-w/ELDrXqGR/;08.12.2012 - 14:00;(15:18, 21:11, 11:17, 24:10);;
1574943582-8613;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Fenerbahce W - Mersin W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/fenerbahce-w-mersin-w/zyWddurm/;28.10.2012 - 11:00;(21:19, 17:19, 20:7, 19:9);;
1574944054-8770;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Mersin W - Canik Belediye W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/mersin-w-samsun-canik-belediye-w/YNaBh60e/;23.03.2013 - 16:00;(24:20, 25:10, 17:14, 21:17);;
1574943624-8627;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Fenerbahce W - Istanbul Univ. W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/fenerbahce-w-istanbul-gelisim-universitesi-w/Y9ja4ftO/;11.11.2012 - 12:30;(17:19, 22:12, 26:18, 19:17);;
1574943588-8615;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Bellona Kayseri W - Edremit W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/bellona-kayseri-w-edremit-w/QPO9gwS5/;28.10.2012 - 15:00;(29:19, 21:13, 21:16, 10:17);;
1574943834-8697;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;Mersin W - Hatay W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/mersin-w-hatay-w/G4hD5bwi/;20.01.2013 - 15:00;(18:20, 20:17, 15:17, 17:12);;
1574943759-8672;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/results/?stage=d2dRWFF7;TED Ankara W - Edremit W;https://www.betexplorer.com/basketball/turkey/tkbl-women-2012-2013/ted-ankara-w-edremit-w/OUJRiKif/;26.12.2012 - 12:00;(13:20, 29:12, 25:26, 20:25);;
